    kumekay.com: 1:y
 hackerbots.net: 1:1
   e-string.com: 1:1
      nu-ex.com: 1:1
       53cr.com: 1:1
stevestmartin.com: 1:3
panopticdev.com: 1:1
indierockmedia.com: 1:1
   morearty.org: 1:1
 imagegroup.com: 1:1
  nach-vorne.eu: 1:2
       abrah.ms: 1:2
  hdhoang.space: 1:2
    w3at.com.br: 1:2
  arieldiaz.com: 1:1
managedopensource.com: 1:1
     ullrich.is: 1:2
  toronegro.net: 1:1
     prylis.com: 1:1
        quiz.md: 1:2
      ucl.ac.uk: 1:1
  austenito.com: 1:1
   bentoner.com: 1:1
aminastaneh.net: 1:1
   kamawada.com: 1:1
        ofb.net: 1:1
          42.dk: 1:1
   rubyplus.com: 1:1
marcusirven.com: 1:1
   42puzzle.com: 1:1
       scrug.gs: 1:1
   beancuke.com: 1:1
   ispirata.com: 1:1
       yahoo.es: 1:2
     jlaine.net: 1:1
levimccallum.com: 1:3
   mikewest.org: 1:3
  moonclerk.com: 1:1
    xiano.co.uk: 1:1
    crux.org.pl: 1:3
      i-tool.eu: 1:1
 justinrich.com: 1:3
     furilo.com: 1:1
     haikuco.de: 1:1
  netresolve.pl: 1:1
chrissloan.info: 1:1
davidrodriguez.es: 1:3
       aitor.is: 1:3
   hapgoods.com: 1:1
      lusrc.com: 1:1
       local.ch: 1:1
  johntoups.com: 1:1
alkaline-solutions.com: 1:1
 ablschools.com: 1:1
theoremdesign.com: 1:1
      panter.ch: 1:1
 presenceco.com: 1:1
robotloveskitten.com: 1:1
sourcebender.com: 1:1
 flipsidexr.com: 1:1
     trinix.com: 1:1
       xach.com: 1:1
       yarp.com: 1:1
        veez.us: 1:1
     fdutra.org: 1:1
      jfred.net: 1:3
      aurels.be: 1:1
  kevindamm.com: 1:3
    tonywinn.me: 1:3
 elliterate.com: 1:1
forwardlateral.com: 1:1
  tesoriere.com: 1:1
   larkfarm.com: 1:1
paul.chavard.net: 1:3
 avandamiri.com: 1:1
brightsoftwarehq.com: 1:1
   loscombe.com: 1:1
 josephwilk.net: 1:1
junglistheavy.industries: 1:3
      desire.sh: 1:3
     thoran.com: 1:1
 elevenbits.com: 1:1
       celik.be: 1:3
    jenssen.org: 1:1
ryanbergeman.com: 1:1
   tower-mt.com: 1:1
   ivercore.com: 1:1
    roamable.ca: 1:1
twofoldsoftware.com: 1:1
    dekorte.com: 1:1
pillageandplunder.net: 1:1
   codebeef.com: 1:1
       emqtt.io: 1:1
sourcegraph.com: 1:1
 stonehenge.com: 1:1
   gokarbon.com: 1:1
   lazyatom.com: 1:1
       magni.me: 1:1
geekbehindthecurtain.com: 1:1
     armooo.net: 1:1
     dojbol.com: 1:1
    zorched.net: 1:1
thoughtworks.com: 1:1
      remix.net: 1:1
      ebrain.nl: 1:1
     brewbot.io: 1:1
       uespi.br: 1:3
  petebevin.com: 1:3
    tobin.id.au: 1:3
      escoz.com: 1:1
   theyapps.com: 1:1
    cukehub.com: 1:1
    kopanas.com: 1:1
  jimsidler.com: 1:1
     earth-w.jp: 1:3
 adamhooper.com: 1:1
      rnd.rocks: 1:3
   engr.ucr.edu: 1:1
  picocandy.com: 1:1
          ti.md: 1:3
   avenue80.com: 1:1
     3rdarm.com: 1:1
        ill.com: 1:1
    connett.net: 1:1
   ideopolis.gr: 1:3
    castelli.me: 1:3
    marache.com: 1:1
 hates.software: 1:1
       nasa.gov: 1:1
pinepointsoftware.com: 1:1
     awtrey.com: 1:1
austinschneider.com: 1:1
  box2small.com: 1:1
davecardwell.com: 1:1
   rubytune.com: 1:1
doubleencore.com: 1:
     ramboi.com: 1:1
      mando.org: 1:1
jasoncoffin.com: 1:1
     hasno.info: 1:3
martyandrews.net: 1:1
   antiflux.org: 1:3
     tejasa.com: 1:3
   dmathieu.com: 1:3
    zeroping.ca: 1:1
   gtalumni.org: 1:3
   grandkru.com: 1:1
     dofter.com: 1:1
    poulikov.ru: 1:1
   dahammer.net: 1:1
    vasiliev.me: 1:1
         diu.pm: 1:3
     lklabs.com: 1:1
    kstewart.me: 1:3
andrecardozo.com: 1:1
    menfin.info: 1:3
      youhei.jp: 1:1
        suse.de: 1:3
andaleadvertising.com: 1:1
  mutelight.org: 1:3
     paxata.com: 1:1
    atomist.com: 1:1
    loadsys.com: 1:1
       email.de: 1:3
cyrilgodefroy.com: 1:3
  artel-gnu.org: 1:3
grinning-cat.com: 1:1
  fleecelabs.se: 1:3
     beanon.com: 1:1
     lanyrd.com: 1:1
  renemoser.net: 1:1
   catawiki.com: 1:1
   veldstra.org: 1:1
     garthk.com: 1:1
       nika.com: 1:1
    svashta.com: 1:1
     tombug.com: 1:1
         jah.pl: 1:3
  tddsworld.com: 1:1
        galv.in: 1:1
overcommittedapps.com: 1:1
 travisbell.com: 1:1
        dirk.to: 1:3
  lightmesh.com: 1:1
 theboohers.org: 1:1
  sonicpond.com: 1:1
    nanolia.net: 1:3
magrathealabs.com: 1:1
 mikenz.geek.nz: 1:3
       blair.io: 1:3
        srid.ca: 1:3
    torsion.org: 1:3
carlosparamio.com: 1:1
   monotype.com: 1:1
    foxking.org: 1:1
      scotfl.ca: 1:1
eng.utoledo.edu: 1:1
  syntactic.org: 1:1
endlesswhileloop.com: 1:1
  joshmiller.io: 1:3
  cartasite.com: 1:1
 moellegaard.dk: 1:3
    webpeak.com: 1:1
 davemerwin.com: 1:3
 nahapetian.com: 1:1
 davidohara.net: 1:3
ruby-sapporo.org: 1:1
  harrisony.com: 1:1
      inbox.com: 1:1
 techvoxinc.com: 1:1
    prosper.com: 1:1
    mikamai.com: 1:1
pharmarketeer.com: 1:1
  yankowski.com: 1:1
    humaneq.com: 1:1
      anlek.com: 1:1
collectionsaustralia.net: 1:1
    pandalab.it: 1:1
alexeypegov.com: 1:3
henrikhjelte.com: 1:3
    schopp3r.de: 1:1
      renta.net: 1:1
     bitovi.com: 1:1
       xoom.org: 1:1
   any-where.de: 1:1
        fgad.de: 1:3
abstractbinary.org: 1:1
   joshpeek.com: 1:3
     medivo.com: 1:1
  nordaaker.com: 1:1
 automattic.com: 1:1
linksbusinessgroup.com: 1:1
productscience.co.uk: 1:1
 railsjitsu.com: 1:3
  accidental.cc: 1:2
ltheobald.co.uk: 1:1
mytaskhelper.com: 1:1
   idaemons.org: 1:1
        geek.im: 1:3
   kakutani.com: 1:1
  boddie.org.uk: 1:3
   cyberfox.com: 1:1
  balansoft.com: 1:1
    zeromtn.com: 1:1
  realnorth.net: 1:1
       kydd.net: 1:1
       ramen.is: 1:3
    subblue.com: 1:1
      frede.biz: 1:3
    wwindia.com: 1:1
    gihyo.co.jp: 1:3
    hedges.name: 1:1
joellongtine.com: 1:3
     dotless.de: 1:1
  officewai.com: 1:1
      rot13.org: 1:1
      nata2.org: 1:1
redromelogic.com: 1:1
cliffpruitt.com: 1:1
    envoked.com: 1:1
  awhitebox.com: 1:1
   yahoo.com.cn: 1:1
          xc.cx: 1:1
  madebyjam.com: 1:1
  withaspoon.se: 1:2
    esmejia.com: 1:1
      costan.us: 1:1
    mckible.com: 1:1
       bertg.be: 1:3
    glennfu.com: 1:1
   ryanface.com: 1:1
      chaz6.com: 1:1
  lukestark.com: 1:1
 thomaszone.com: 1:1
  melvinram.com: 1:1
     deefour.me: 1:3
   thequeue.net: 1:1
 burningbush.us: 1:1
    schaffer.me: 1:3
      mcgill.ca: 1:3
      ahlers.me: 1:3
bacondarwin.com: 1:1
 mlbx.matrix.jp: 1:3
   benmabey.com: 1:1
    yutongo.com: 1:1
      phunc.com: 1:1
  madhatted.com: 1:1
   bradynet.net: 1:1
 biggerbird.com: 1:1
  kevinsmith.cc: 1:3
 jesseclark.com: 1:3
refactor.com.au: 1:1
   jeraimee.com: 1:1
   drhanson.net: 1:1
       leers.de: 1:3
   jumpsuit.org: 1:1
  davidyang.net: 1:3
   sprovoost.nl: 1:1
jointsecurityarea.org: 1:1
    diegorv.com: 1:1
davidbolton.net: 1:2
highlandhomes.com: 1:1
     nofeed.org: 1:3
    numenta.org: 1:1
 netlingshq.com: 1:1
johnleach.co.uk: 1:3
     phrogz.net: 1:1
  imnotpete.com: 1:1
     enalab.com: 1:1
     wensel.net: 1:1
 thetangens.net: 1:1
    unixorn.net: 1:1
    millett.net: 1:1
      sitnik.ru: 1:1
  alloycode.com: 1:1
   inf.utfsm.cl: 1:3
   rubygeek.com: 1:1
    kiibohd.com: 1:1
tinycandyhammers.com: 1:1
      canciu.ro: 1:3
       valid.be: 1:1
     neeman.net: 1:3
     thebird.nl: 1:3
    nestegg.com: 1:1
lighttransport.com: 1:1
     wartala.de: 1:3
   edwagner.org: 1:3
 custommode.com: 1:1
travishartwell.net: 1:3
      brnbw.com: 1:1
 federowicz.net: 1:1
    tdreyno.com: 1:1
   cloudcity.io: 1:3
    nlsmith.com: 1:1
       ciber.nl: 1:11
      woss.name: 1:3
  samoliver.com: 1:1
    notwork.org: 1:1
adamflorin.work: 1:3
maik-schmidt.de: 1:3
fairladymedia.com: 1:3
    marktd.name: 1:3
    jetruby.com: 1:3
    iprobot.com: 1:1
   shareday.com: 1:1
arjanvandergaag.nl: 1:3
  timmorgan.org: 1:3
