company_name,country_code,state_code,city,status,category_group_list,funding_total_usd,founded_on,closed_on,uuid
ScriptDrop,USA,TN,Nashville,operating,health care,"1,000,000",4/18/2016,,d4c0e9ff-0e0e-f9da-f1c3-1618fc995a8f
DreamCSX,USA,TN,Louisville,operating,,"150,000",4/26/2017,,26ace4ca-d393-0884-4771-74dbb842b993
HouseLens,USA,TN,Nashville,operating,advertising|sales and marketing,"4,500,000",1/1/2007,,b36cc355-6182-ef74-3e5e-64aade39db6d
NOMATIC,USA,TN,Utah,operating,design,"6,177,172",1/1/2014,,b5ab574e-6e7b-e34f-6c5a-21403f95e6f9
Graph Story,USA,TN,Memphis,operating,artificial intelligence|data and analytics|internet services|software,"1,465,000",1/1/2014,,a04d7958-9357-a791-ed9d-bac67c6cc3b8
Arkis BioSciences,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"5,791,000",1/1/2011,,68ec4ff7-4c9d-d130-6477-c83cc4a303d5
"Hurdl, Inc.",USA,TN,Nashville,operating,artificial intelligence|consumer electronics|data and analytics|events|hardware|information technology|internet services|media and entertainment|sales and marketing|software,"3,275,000",2/1/2016,,93bcd0be-41f0-f9bc-214d-bb32110861cb
IQuity,USA,TN,Nashville,operating,artificial intelligence|biotechnology|data and analytics|health care|science and engineering|software,"4,350,000",1/1/2013,,4eb56788-99d7-f47b-2e65-047d905b0237
EvidenceCare,USA,TN,Nashville,operating,health care,"2,000,000",1/1/2014,,56578579-751c-4cf5-00a6-2fb377e98634
GreenLight Medical,USA,TN,Nashville,operating,health care,,7/1/2014,,c9d154e2-e7eb-2a2c-5750-75b9ad13d8c7
BKON Connect,USA,TN,Nashville,operating,hardware|internet services|mobile|sales and marketing|software,"3,850,000",1/1/2014,,b9219a26-6bd7-5eba-3ad8-a461535a1a26
Jernigan Capital,USA,TN,Memphis,ipo,financial services,"29,500,000",1/1/2013,,9db32006-fc1b-e434-9747-46c5a1762128
GameWisp,USA,TN,Nashville,operating,content and publishing|financial services|gaming|media and entertainment|sports|video,"2,273,461",7/3/2012,,1ac33060-6d8d-a930-aaa3-ee58e5381b9b
Bellhops,USA,TN,Chattanooga,operating,professional services,"27,200,000",1/1/2012,,8e3503d6-d978-83c3-6715-4615a7409d6f
Jonny Dapper,USA,TN,Brentwood,operating,,"780,000",1/1/2017,,92fef1f7-fd4b-fea1-9c21-ee96d026137b
